,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
279,Mozambique,MOZ,1968,Summer,8035529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
264,Namibia,NAM,1968,Summer,712427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
222,New Zealand,NZL,1968,Summer,2748100.0,5180597621.3112,1885.156152,1.0,0.0,2.0,3.0,6.0,0.0,5.0,11.0,1.0916633310287107e-06,4.002765547105272e-06,5.790837697293899e-10,2.1233071556744297e-09,23.0,5.0,549620.0,119482.60869565218
282,North Macedonia,MKD,1968,Summer,1610537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
220,Norway,NOR,1968,Summer,3816486.0,10159934138.57311,2662.117492,1.0,1.0,0.0,2.0,8.0,10.0,6.0,24.0,5.24042273442114e-07,6.2885072813053686e-06,1.968516697767576e-10,2.362220037321091e-09,50.0,5.0,763297.2,76329.72
221,Norway,NOR,1968,Winter,3816486.0,10159934138.57311,2662.117492,6.0,6.0,2.0,14.0,14.0,16.0,8.0,38.0,3.668295914094798e-06,9.956803195400166e-06,1.3779616884373032e-09,3.740181725758394e-09,82.0,32.0,119265.1875,46542.51219512195
223,Pakistan,PAK,1968,Summer,56124743.0,8041999161.0853,143.2879463,1.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,1.781745352490968e-08,7.126981409963872e-08,1.2434719029056028e-10,4.973887611622411e-10,9.0,3.0,18708247.666666668,6236082.555555556
285,Panama,PAN,1968,Summer,1432255.0,1112791100.021667,776.9504034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,Peru,PER,1968,Summer,12843249.0,5736083835.226761,446.622489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,Poland,POL,1968,Summer,32294655.0,0.0,0.0,5.0,2.0,11.0,18.0,16.0,15.0,33.0,64.0,5.573677749460398e-07,1.9817520886970307e-06,0.0,0.0,111.0,30.0,1076488.5,290942.8378378378
265,Qatar,QAT,1968,Summer,93022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
225,Romania,ROU,1968,Summer,19799831.0,0.0,0.0,4.0,6.0,5.0,15.0,9.0,11.0,17.0,37.0,7.575822238078699e-07,1.868702818726079e-06,0.0,0.0,66.0,29.0,682752.7931034482,299997.4393939394
226,Romania,ROU,1968,Winter,19799831.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,11.0,18.0,38.0,5.050548158719132e-08,1.9192083003132703e-06,0.0,0.0,67.0,1.0,19799831.0,295519.8656716418
268,Russian Federation,RUS,1968,Summer,128928000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
293,San Marino,SMR,1968,Summer,18291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
258,Senegal,SEN,1968,Summer,4117659.0,1309384830.2638195,317.9925366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Serbia,SRB,1968,Summer,6915000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
227,Singapore,SGP,1968,Summer,2012000.0,1425715405.798,708.6060665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.970178926441352e-07,0.0,7.014022545686675e-10,2.0,0.0,0.0,1006000.0
280,Slovak Republic,SVK,1968,Summer,4483915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
204,Spain,ESP,1968,Summer,33113134.0,31475548481.617043,950.5457406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.019949727500876e-08,0.0,3.177069338709187e-11,1.0,0.0,0.0,33113134.0
259,Suriname,SUR,1968,Summer,355468.0,241349999.99921322,678.9640699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Sweden,SWE,1968,Summer,7912273.0,31066819925.56927,3926.409001,2.0,1.0,1.0,4.0,11.0,10.0,11.0,32.0,5.055437293430093e-07,4.044349834744074e-06,1.287547296306255e-10,1.030037837045004e-09,64.0,9.0,879141.4444444445,123629.265625
229,Sweden,SWE,1968,Winter,7912273.0,31066819925.56927,3926.409001,3.0,2.0,3.0,8.0,14.0,12.0,14.0,40.0,1.0110874586860185e-06,5.055437293430092e-06,2.57509459261251e-10,1.2875472963062549e-09,80.0,16.0,494517.0625,98903.4125
255,Syrian Arab Republic,SYR,1968,Summer,5912715.0,1562303429.325513,264.2277582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Tajikistan,TJK,1968,Summer,2806566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
