Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Trinidad and Tobago,TTO,2000,6120.942704,0,1,1,2,Summer
Turkiye,TUR,2000,4278.39313,3,0,2,5,Summer
Ukraine,UKR,2000,658.3486328,3,10,10,23,Summer
United States,USA,2000,36329.95607,37,24,32,93,Summer
Uzbekistan,UZB,2000,558.2268024,1,1,2,4,Summer
Argentina,ARG,2004,4258.160261,2,0,4,6,Summer
Australia,AUS,2004,30819.99349,17,16,17,50,Summer
Austria,AUT,2004,36889.23351,2,4,1,7,Summer
Azerbaijan,AZE,2004,1045.009379,1,0,4,5,Summer
Belgium,BEL,2004,35429.40779,1,0,2,3,Summer
Belarus,BLR,2004,2378.623286,2,5,6,13,Summer
Brazil,BRA,2004,3623.247996,5,2,3,10,Summer
Canada,CAN,2004,32143.68141,3,6,3,12,Summer
Channel Islands,CHI,2004,57202.56103,2,0,1,3,Summer
China,CHN,2004,1508.668098,32,17,14,63,Summer
Cameroon,CMR,2004,1119.98093,1,0,0,1,Summer
Colombia,COL,2004,2811.197871,0,0,2,2,Summer
Cuba,CUB,2004,3403.296163,9,7,11,27,Summer
Czechia,CZE,2004,11749.85266,1,3,5,9,Summer
Dominican Republic,DOM,2004,2468.437673,1,0,0,1,Summer
"Egypt, Arab Rep.",EGY,2004,1016.253884,1,1,3,5,Summer
Eritrea,ERI,2004,401.3745252,0,0,1,1,Summer
Spain,ESP,2004,24907.00085,3,11,6,20,Summer
Estonia,EST,2004,8914.103557,0,1,2,3,Summer
Ethiopia,ETH,2004,134.5424863,2,3,2,7,Summer
Finland,FIN,2004,37772.17811,0,2,0,2,Summer
France,FRA,2004,33797.16244,11,9,13,33,Summer
United Kingdom,GBR,2004,40390.78583,9,9,12,30,Summer
Georgia,GEO,2004,1305.047486,2,2,0,4,Summer
"Hong Kong SAR, China",HKG,2004,24928.10037,0,1,0,1,Summer
Hungary,HUN,2004,10301.70339,8,6,3,17,Summer
India,IND,2004,624.1050944,0,1,0,1,Summer
Israel,ISR,2004,20557.07863,1,0,1,2,Summer
Italy,ITA,2004,31317.20079,10,11,11,32,Summer
Jamaica,JAM,2004,3819.284231,2,1,2,5,Summer
Japan,JPN,2004,38298.98017,16,9,12,37,Summer
Kazakhstan,KAZ,2004,2874.288483,1,4,3,8,Summer
Kenya,KEN,2004,462.6182158,1,4,2,7,Summer
"Korea, Rep.",KOR,2004,16496.12009,9,12,9,30,Summer
Lithuania,LTU,2004,6700.327192,1,2,0,3,Summer
Morocco,MAR,2004,1964.080078,2,1,0,3,Summer
Mexico,MEX,2004,7525.465234,0,3,1,4,Summer
Norway,NOR,2004,57603.83602,5,0,1,6,Summer
New Zealand,NZL,2004,25420.23488,3,2,0,5,Summer
Poland,POL,2004,6681.386472,3,2,5,10,Summer
"Korea, Dem. People's Rep.",PRK,2004,,0,4,1,5,Summer
Romania,ROU,2004,3494.944517,8,5,6,19,Summer
Russian Federation,RUS,2004,4102.364746,28,26,36,90,Summer
