Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Dominican Republic,1964,DOM,0.0,0.0,0.0,0.0,0,273324.72000000003,3752313.0,0.0,0.0,0.0,0.0
Montenegro,1964,MNE,0.0,0.0,0.0,0.0,0,,521753.0,0.0,0.0,0.0,0.0
Mexico,1964,MEX,0.0,0.0,1.0,1.0,Summer,485800.05,41333878.0,0.0,0.0,2.0,2.0
Luxembourg,1964,LUX,0.0,0.0,0.0,0.0,0,2755633.117,327750.0,0.0,0.0,0.0,0.0
Ecuador,1964,ECU,0.0,0.0,0.0,0.0,0,432958.584,5183283.0,0.0,0.0,0.0,0.0
Lithuania,1964,LTU,0.0,0.0,0.0,0.0,0,,2935200.0,0.0,0.0,0.0,0.0
Eritrea,1964,ERI,0.0,0.0,0.0,0.0,0,,1094042.0,0.0,0.0,0.0,0.0
Liechtenstein,1964,LIE,0.0,0.0,0.0,0.0,0,,18058.0,0.0,0.0,0.0,0.0
Lebanon,1964,LBN,0.0,0.0,0.0,0.0,0,,2030440.0,0.0,0.0,0.0,0.0
Colombia,1964,COL,0.0,0.0,0.0,0.0,0,336722.0688,17739754.0,0.0,0.0,0.0,0.0
Suriname,1964,SUR,0.0,0.0,0.0,0.0,0,433145.9805,310288.0,0.0,0.0,0.0,0.0
Norway,1964,NOR,3.0,6.0,6.0,15.0,Winter,1937884.614,3694339.0,7.0,9.0,6.0,22.0
Tunisia,1964,TUN,0.0,1.0,1.0,2.0,Summer,,4389417.0,0.0,1.0,1.0,2.0
Syrian Arab Republic,1964,SYR,0.0,0.0,0.0,0.0,0,257454.14469999998,5202846.0,0.0,0.0,0.0,0.0
Uganda,1964,UGA,0.0,0.0,0.0,0.0,0,68776.81893000001,8564755.0,0.0,0.0,0.0,0.0
Sweden,1964,SWE,2.0,2.0,4.0,8.0,Summer,2941048.8989999997,7661354.0,6.0,6.0,9.0,21.0
